url,name,price,value
https://eda.yandex.ru/retail/lenta/product/eb692094-ae16-4853-9975-9393e3c78081?placeSlug=giper_gwhxm,Творог Простоквашино 2%,58.5RUB,200г
https://eda.yandex.ru/retail/lenta/product/f71f2973-fdf8-4b5b-96ed-196adcb19cc1?placeSlug=giper_gwhxm,Творог рассыпчатый Простоквашино 5%,128RUB,320г
https://eda.yandex.ru/retail/lenta/product/ba4bca22-eed3-4b20-9ef4-6e57b590ba8c?placeSlug=giper_gwhxm,Творог Простоквашино Нежный мягкий 5% 170г,57RUB,170г
https://eda.yandex.ru/retail/lenta/product/27911ba0-fb41-46bd-9055-a44c196f493b?placeSlug=giper_gwhxm,Творог мягкий Простоквашино 01%,52RUB,170г
https://eda.yandex.ru/retail/lenta/product/1ad34f47-f1ea-4768-9a66-d8f4f7e77eca?placeSlug=giper_gwhxm,Творог Мама Лама с клубникой и бананом 38%,38RUB,100г
https://eda.yandex.ru/retail/lenta/product/f9e50ba0-5276-4774-9f1b-0e7a3c9170bd?placeSlug=giper_gwhxm,Мягкий творог Домик в деревне 55% 170г,50RUB,170г
https://eda.yandex.ru/retail/lenta/product/56149390-3ad4-41b8-a257-f9133c46f8f2?placeSlug=giper_gwhxm,Творог мягкий обезжиренный Савушкин Нежный 0%,47RUB,125г
https://eda.yandex.ru/retail/lenta/product/bc89b7e6-cc39-4b8c-817c-e4543631c86c?placeSlug=giper_gwhxm,Творожный продукт зернёный Простоквашино в сливках 5%,156RUB,320г
https://eda.yandex.ru/retail/lenta/product/796bd988-c4c9-4181-9c39-fc310d01ea86?placeSlug=giper_gwhxm,Творог Мама Лама Черника 38%,41RUB,100г
https://eda.yandex.ru/retail/lenta/product/dc237228-7f03-4b7f-a5fc-7fa5e85c34cd?placeSlug=giper_gwhxm,Сметана Простоквашино 15%,78RUB,300г
https://eda.yandex.ru/retail/lenta/product/fd9d9b03-2206-44d3-be76-b119b41433d3?placeSlug=giper_gwhxm,Сметана Простоквашино 10%,65RUB,300г
https://eda.yandex.ru/retail/lenta/product/83d27089-e6d7-436d-bc38-6dbc556d6814?placeSlug=giper_gwhxm,Сметана Простоквашино 20%,74RUB,300г
https://eda.yandex.ru/retail/lenta/product/ed0d3605-e3fe-4403-97f6-e60fe6ca5b39?placeSlug=giper_gwhxm,Сметана Домик в деревне 20% 300г,81RUB,300г
https://eda.yandex.ru/retail/lenta/product/cdc68f05-4db5-4080-b38e-0c08496cfbcf?placeSlug=giper_gwhxm,Сметана Домик в деревне 15% 300г,70RUB,300г
https://eda.yandex.ru/retail/lenta/product/8d8eca31-f42a-4bd3-9474-2dab86c90411?placeSlug=giper_gwhxm,Сметана Простоквашино 15%,75RUB,180г
